X,Y,OBJECTID
-123.34652204906773,40.190954853956086,20500
-118.86652151992331,36.478104243702184,20121
-120.14886882595296,39.777546413241595,20487
-116.96347169888148,34.019900530265105,20652
-122.4721388137658,38.15343066649053,20333
-118.64359984719393,35.52182183614977,20516
-121.14851353843355,39.244106442591104,20283
-119.7695624856235,37.07565841444809,20300
-116.83609853524743,34.31424469988312,20577
-120.5610149540451,36.22726266863478,20478
-120.90457695041951,36.969361884982156,20304
-120.99582299998362,41.96094284834896,20598
-118.5708550111357,35.58350892591941,20515
-120.76121483670705,39.75733075804907,20542
-116.86941176388689,33.97562963770571,20231
-121.82742480262625,40.980591152799754,20205
-117.3000375996075,33.99759437759263,20227
-116.83941951227501,32.85101880497234,20291
-121.30723809660009,41.786444103640754,20597
-120.00966798853672,38.339559490976505,20493
-118.37969147885025,35.766249948516744,20513
-118.59268325236309,34.55309071609796,20348
-117.09079817449883,34.093954439456056,20578
-120.6746474967399,35.777699597818945,20643
-121.05033593970862,38.526970464300405,20656
-119.16017556960479,37.55529143013367,20523
-123.16349702015378,41.43040763007461,20557
-120.93731746360808,41.79603540036186,20608
-119.94573390348455,37.37067774836548,20303
-119.94755379417965,38.119101501028176,20491
-122.84417827516289,41.37025318802335,20184
-121.30877151059059,41.860914859671944,20617
-117.17195498572902,34.14435273264488,20581
-120.44941180787534,41.30624362096887,20418
-123.2976740834908,41.544833624735276,20499
-118.86186617930288,35.461231502350785,20381
-121.11134265946792,39.352362191318775,20273
-123.49793531375182,41.48044062781048,20504
-117.02953920887194,34.08000221197,20654
-119.78475985477803,38.319109130996615,20492
-120.46381575980288,36.207872374068174,20477
-120.43121610885778,34.70765126078289,20215
-120.04499944978926,37.1676940734298,20460
-118.47102734153358,34.094607871836104,20461
-117.32550935945306,33.59118787962571,20573
-119.46686855863835,37.236935653296094,20301
-120.05796548887578,39.875606274750474,20534
-122.64158410761458,38.36223636486587,20332
-122.07206760113465,37.18301695146396,20637
-119.04972074606954,36.21496590392149,20123
-121.34199981786712,39.15334617049524,20278
-116.82762934990218,32.654315292806366,20293
-119.12780527667962,37.80475931575444,20620
-117.57783314980941,33.432467157622405,20712
-123.28980782421628,41.97058687406532,20709
-118.31539437392628,34.230016939073955,20704
-123.12939745077108,41.957398692126716,20708
-123.60073836276324,41.73569022257192,20652
-117.20032288199273,33.29933943615564,20290
-120.27510004192992,36.056557014116805,20471
-121.08375192560926,41.80245810765459,20603
-120.27070123889972,41.46329869802777,20705
-119.57701593014008,37.55423724857307,20706
-123.3362175604409,41.94270172707419,20551
-122.88214346432059,38.7735021514452,20336
-119.90200906125447,40.715903083164406,20416
-120.94123946113534,39.90164709452465,20540
-122.66777422075383,38.99386453189638,20338
-121.4112673967415,39.47044240736651,20627
-123.00784410150222,40.84354730180728,20485
-123.1300079557403,41.4150860358269,20561
-123.21078890781527,39.33170459012413,20707
-119.56352326607099,38.66031384544489,20453
-123.49186158593244,41.58933410274091,20508
-120.8994164658066,41.88507812341116,20602
-120.30671119265533,35.95911452301376,20470
-119.9505740841687,34.529914124764524,20546
-123.40764017333592,41.46687994016575,20503
-122.22944972561694,38.37276283605883,20337
-118.90080988420824,35.79404273941096,20384
-118.93301099326354,36.015820601466984,20122
-119.59469993233321,37.6472341644277,20671
-116.94816237061765,33.8673871803832,20462
-121.37268285454827,39.35800109617619,20663
-118.29633241904412,36.24710015190756,20621
-122.47973153550863,38.37749707978675,20331
-120.11430487372392,37.571986295039316,20302
-121.28011065472327,39.57338059822562,20626
-120.24503779789289,40.435301779507896,20433
-119.90630292160213,40.01089442592878,20422
-118.36934362444647,36.09378815168819,20511
-121.57796835078449,39.5878159863636,20625
-122.68295111408924,38.55817842682726,20335
-120.39932736599543,36.07109019497205,20476
-118.7038716161458,36.12278915493003,20512
-117.1131218306836,33.99098979296025,20230
-119.61263405634645,37.44721550116929,20524
-120.27540750837073,34.969837771610244,20153
-118.48169093094664,36.27123155553888,20514
-123.30365693925236,40.12093847916751,20509
-119.2867748778681,34.450304469853165,20549
-122.05392083488906,38.52657487755309,20322
-118.35454119314501,34.30334164440475,20379
-117.7333233800949,33.822743195132645,20252
-117.65773874616283,33.86233699776418,20251
-123.06100032122384,40.771735408631294,20486
-119.87579217840715,38.37794848723531,20490
-121.01305774205791,41.28050417047977,20600
-118.61915777524007,34.423862450664885,20380
-123.02721869906588,40.21174522833903,20529
